,country,description,points,price,province,title,variety,winery
3519,France,"From its cellar in Aÿ, this small négociant buys grapes from a range of villages. This signature wine is soft with a crisp background and delicate acidity. Rounded and full of white fruit on the finish, it's ready to drink.",88,55.0,Champagne,Brimoncourt NV Brut Régence  (Champagne),Champagne Blend,Brimoncourt
3524,France,"This is a tightly wrought wine, the white fruit flavors given a nervy edge of minerality. Its fruit and acidity are coming into balance, needing further age to fully integrate. Drink from 2018.",88,55.0,Champagne,Collet NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Collet
3525,France,"This nonvintage cuvée is dominated by Pinot Noir and Pinot Meunier. That gives richness as well as a crisp lemon and tangy orange character. Ripe and full, it's balanced and ready to drink.",88,45.0,Champagne,Collet NV Brut Art Déco  (Champagne),Champagne Blend,Collet
3528,US,"A good sense of concentration and depth make this medium-bodied wine taste big and satisfying without overdoing it. It has a very dark color, fruity and lightly spicy aromas, rich plum and black cherry flavors and rather mild tannins.",88,10.0,California,Dark Horse NV Big Red Blend No 33-1 Red (California),Red Blend,Dark Horse
3576,Luxembourg,"This non vintage white blend is composed of 50% Auxerrois, 40% Pinot Blanc, and 10% Pinot Gris. It has green apple and lemon pith aromas, lemon curd, apple juice and pastry flavors and a creamy finish.",89,16.0,Moselle Luxembourgeoise,Domaines Vinsmoselle NV Pinot Luxembourg White (Moselle Luxembourgeoise),White Blend,Domaines Vinsmoselle
3594,Australia,"Pale straw with a touch of green to its hue, this is a soft, easygoing Moscato redolent of oranges and pineapples. Finishes fresh and clean despite considerable sweetness.",86,13.0,Australia Other,De Bortoli NV Emeri Moscato Sparkling (South Eastern Australia),Sparkling Blend,De Bortoli
3595,Australia,"A pleasant, sweet little sipper, with more richness than many Australian Moscatos, balanced through a slight touch of bitterness on the finish. Orange and spice notes are joined by just a faint hint of berry fruit.",86,13.0,Australia Other,De Bortoli NV Emeri Pink Moscato Sparkling (South Eastern Australia),Sparkling Blend,De Bortoli
3596,US,"Pungent and spicy, with a sulfurous opening. Once the SO2 blows off, the minty, licorice flavors poke through.",86,12.0,Washington,Domaine Ste. Michelle NV Brut Sparkling (Columbia Valley (WA)),Sparkling Blend,Domaine Ste. Michelle
3598,Australia,"Really dark, vibrant purple in color, with oak-inflected notes of cedar, vanilla and chocolate layered over black cherries. It's on the soft, slightly sweet side, but offers an easy-to-drink mouthful of sparkling Shiraz.",86,20.0,South Australia,Henry's Drive Vignerons NV The Scarlet Letter Sparkling Shiraz (Padthaway),Shiraz,Henry's Drive Vignerons
3634,US,"Sugary sweet and medicinal, like cherry cough syrup.",81,11.0,California,YN NV Red (California),Red Blend,YN
3687,France,"Pale in color, this is dominated by its taut, nervy structure. Crisp red currant and red apple flavors give the fruitiness. A ripe, full-bodied mouthfeel brings out a softer, riper aftertaste.",91,90.0,Champagne,Ruinart NV Brut Rosé  (Champagne),Champagne Blend,Ruinart
3689,Portugal,"Kopke has an impressive quantity of old tawnies, some of which will have ended up in this wine. It certainly seems older than its 20 years with strong wood flavors, smoky toast and beautiful mature acidity. It is very ready to drink, a fine mature tawny.",91,56.0,Port,Kopke NV 20-Years-Old Tawny  (Port),Port,Kopke
3698,France,"Blanc de Noirs, white Champagne only from red grapes, produces wines with some weight, as here. It makes for a rich, full-blooded Champagne, packed with red fruits while also cut through with intense acidity. The fruitiness gains shape from a zesty texture.",91,50.0,Champagne,Tendil & Lombardi NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,Tendil & Lombardi
3728,Spain,"This smells wild and yeasty, like sourdough bread blended with a hot summer field. Flavors of white fruits and melon are briny, while this closes with dry white-fruit flavors and peppery notes.",86,14.0,Catalonia,Castillo Rocio NV Gran Brut Sparkling (Cava),Sparkling Blend,Castillo Rocio
3737,Spain,"Aromas of citrus and corn chips are a bit ponderous but do the job in advance of a citrusy, drawn-in palate. Briny grapefruit and orange flavors finish solid but salty.",86,10.0,Catalonia,Dominio de la Vega NV Brut Nature Sparkling (Cava),Sparkling Blend,Dominio de la Vega
3778,US,"Oxidative in style, this Vidal Blanc boasts aromas of cidery apple, toasted nut and brioche dough. Medium to full in body, this offers concentrated flavors and tart acids. Try pairing it with a wedge of goat cheese to tame its raciness.",86,11.0,Virginia,Molliver Vineyards NV Vidal Blanc (Virginia),Vidal Blanc,Molliver Vineyards
3877,France,"Somewhat hard-edged wine, showing the sharpness of young Chenin Blanc. It has a future, though, as this edge drops away, because there is some good weight as well as bright fresh final acidity. Keep for several months.",86,17.0,Loire Valley,Château Moncontour NV Brut Chenin Blanc-Chardonnay (Crémant de Loire),Chenin Blanc-Chardonnay,Château Moncontour
3906,France,"It's the delicious, clean, crisp fruit that's so good about this wine. It is bright with acidity and crisp apple flavors along with a lemon tang texture giving a fine bite. Stylish and fresh, it is a fine apéritif wine in style.",87,21.0,Loire Valley,Sauvion NV Brut Sparkling (Crémant de Loire),Sparkling Blend,Sauvion
3913,France,"A fresh, citrus flavored wine with attractive fruitiness and a crisp texture. There is a yeasty edge that should vanish and leave just fruit. Because it is mainly made from Chenin Blanc, there is a nutty, honeyed aftertaste.",87,22.0,Loire Valley,Louis de Grenelle NV Platine Brut Sparkling (Crémant de Loire),Sparkling Blend,Louis de Grenelle
3949,Australia,"Yellow Tail's sparkler is an aromatic blend of Semillon, Traminer, Viognier and Trebbiano that manages to be largely neutral on the palate at the same time it's perfumed on the nose. Frothy and off dry.",83,10.0,Australia Other,Yellow Tail NV Bubbles Sparkling White Wine Sparkling (South Eastern Australia),Sparkling Blend,Yellow Tail
4032,France,"A blend of half and half Chardonnay and Aligoté, this is a mineral textured wine that is shot through with acidity and green fruits. It is crisp, light and bright, and refreshingly ready to drink.",88,25.0,Burgundy,Cave de Bissey NV Blanc de Blancs Brut  (Crémant de Bourgogne),Sparkling Blend,Cave de Bissey
4121,France,"This well-balanced nonvintage Champagne from this major producer in the Aube region is dominated by Pinot Noir, giving rich character and structure. Red apple and ripe melon flavors mean everything is in place, making for a wine that is deliciously ready to drink.",90,49.0,Champagne,Drappier NV Carte d'Or Brut  (Champagne),Champagne Blend,Drappier
4122,France,"This bone-dry wine is made using Pinot Noir skins to give its salmon-pink color. It is dry and tightly crisp, compared with the brut nature cuvée also made from Pinot Noir. The ripe red fruits give a fruity character that balances the dryness. Like many really dry Champagnes, it needs to age to soften the intensity of the acidity, so drink this bottling from 2017.",90,60.0,Champagne,Drappier NV Rosé Brut Nature Pinot Noir (Champagne),Pinot Noir,Drappier
4127,France,"This is the driest wine in an already-dry range of Champagnes. With no dosage, it is crisp, tight and mineral. The high proportion of Pinot Meunier in the blend brings out the the flavors of white fruits and the crisp texture. The bottling is still young and will be better from 2017.",90,60.0,Champagne,Billecart-Salmon NV Extra Brut  (Champagne),Champagne Blend,Billecart-Salmon
4128,France,"This is a rich wine made from a selection of Pinot Noirs, including some from grand cru vineyards. It is textured with hints of tannin as well as yeast and minerality, concentrated while also stylish. Ripe pear and apricot flavors are lively and ripe. A young bottling, it's worth aging until 2017.",90,53.0,Champagne,Boizel NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,Boizel
4129,France,"Taking advantage of recent warm vintages, Boizel has joined other producers in taking its range drier. This extra brut is full of crisp apple and lemon flavors. It is dry, although the acidity is balanced by the ripe fruitiness and mineral aftertaste. Drink this bottling (disgorged January 2016) from 2018.",90,63.0,Champagne,Boizel NV Ultime Extra Brut  (Champagne),Champagne Blend,Boizel
4135,France,"This producer based in the small Côte de Sézanne has produced a bright, zesty and crisp style of blanc de blancs. It emphasizes fruitiness, lively with only a light touch of chalky minerality. It is full, ripe, fruity and ready to drink.",90,65.0,Champagne,Le Brun de Neuville NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Le Brun de Neuville
4138,France,"In the crisp, balanced style of the producer, this nonvintage Champagne is light, poised and elegant. It is satisfyingly mature with good acidity and minerality. Lively and perfumed, it is ready to drink.",90,50.0,Champagne,Billecart-Salmon NV Brut Réserve  (Champagne),Champagne Blend,Billecart-Salmon
4139,Portugal,"Delaforce is a long-established brand that first appeared in the US in the 1930s though it came on the European market in 1878. The wine is sweet with that fascinating old wood character of an aged tawny. Toffee, spice and dried fruits give it a wide range of flavors. The wine, ripe and balanced, is ready to drink.",90,60.0,Port,Delaforce NV Curious & Ancient 20 Years  (Port),Port,Delaforce
4155,France,"Pure Chardonnay from the Grand Cru village of Oger, this wine is creamy and ripe. It also has a chalky mineral mouthfeel that keeps it crisp and tight. With its grapefruit and white stone fruit flavors, it's both fruity and textured. Let it age a few months and drink from 2018.",92,48.0,Champagne,José Dhondt NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,José Dhondt
4248,US,"One of the few red dessert wines with obvious new-oak flavors, this wine smells smoky and toasty. It tastes sweet and black peppery, and is very full bodied.",88,25.0,California,Peltier NV USB Red (Lodi),Red Blend,Peltier
4279,France,"Sweet and sparkling, this light, fresh wine is delicious on a hot day or as an apéritif. It is crisp with red berry fruits and a soft, sweet aftertaste that is cut with acidity.",85,24.0,France Other,Les Rocailles NV Caprice Gamay (Vin de France),Gamay,Les Rocailles
4285,Spain,"Lemon-lime aromas are clean but basic. A tangy juice-like palate tastes of briny citrus fruits, while the finish shows standard lime and green-apple flavors.",85,12.0,Catalonia,Freixenet NV Cordon Negro Brut Sparkling (Cava),Sparkling Blend,Freixenet
4288,France,"Mumm's new generation of Cordon Rouge bottlings is a pleasure. The wine has depth and great full swathes of pear and red apple fruit flavors. It is well integrated, with initial softness tightened up with acidity and yeast flavors.",89,31.0,Champagne,G. H. Mumm NV Cordon Rouge Brut  (Champagne),Champagne Blend,G. H. Mumm
4302,France,"Fine minerality here, with a wine that brings out balanced grapefruit acidity along with some pear juice and green apple skins. The texture is soft, everything well in balance to give a fine apéritif style of wine.",89,45.0,Champagne,Boizel NV Chardonnay Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Boizel
4321,Spain,"Lustau calls it dry but Los Arcos definitely has some aromatic and palate sweetness. The nose settles on brown sugar, peach, mixed nuts and honey. It's not super tight or acidic, and thus the palate drips maple and molasses. Medium-bodied and balanced, but with that shot of sugar offset by honest but mellow acids.",89,17.0,Andalucia,Lustau NV Dry Amontillado Los Arcos Sherry (Jerez),Sherry,Lustau
4329,Spain,"Smells and tastes semisweet, with vanilla and molasses on the nose. The palate runs sweet as well, with root beer, brown sugar and brownie flavors. It's enjoyable and made right, but with less acidity and cut than many Sherries. Finishes with a mocha blast and some grabby thickness.",88,25.0,Andalucia,Bodegas Dios Baco S.L. NV Oloroso Sherry (Jerez),Sherry,Bodegas Dios Baco S.L.
4334,Spain,"An initial blast of butter and sweaty cheese settles with airing, but this amontillado remains aggressive and demanding up front. In the mouth, this is correct in feel and balance. Saline-rich flavors of walnut, peanut and mushroom finish steady.",90,32.0,Andalucia,Alvear NV Amontillado Carlos VII Pedro Ximénez (Montilla-Moriles),Pedro Ximénez,Alvear
4341,US,"This nonvintage blend is best identified by its edtion number—this latest being #20. It's a runaway success, cleverly incorporating up to eight different varieties. Mixing aromatic whites and fruit-powered grapes such as Chardonnay and Pinot Gris, it captures the best of both. Here the citrusy aromatics are principally from Muscat, while a touch of Sémillon adds a lick of lanolin to the tangy, juicy fruit.",90,15.0,America,Sokol Blosser NV Evolution Lucky No. 9 White (America),White Blend,Sokol Blosser
